,Unnamed: 0,t,DF(t),MarketRate,P,V,PD,PS
10106,10106,28733.916666666668,1.0107877088036294,-0.498,1.016916867875727,-5118.354684193256,0.0009765625,0.9990234375
10107,10107,28734.916666666668,1.0107931424182297,-0.498,1.0169162620461407,-5118.85805917818,0.0009765625,0.9990234375
10108,10108,28735.916666666668,1.0107985760620386,-0.498,1.0169156568739197,-5119.361436869059,0.0009765625,0.9990234375
10109,10109,28736.916666666668,1.0108040097350568,-0.498,1.0169150523588713,-5119.864817265907,0.0009765625,0.9990234375
10110,10110,28737.916666666668,1.010809443437285,-0.498,1.0169144485008037,-5120.368200368738,0.0009765625,0.9990234375
10111,10111,28738.916666666668,1.0108148771687222,-0.498,1.0169138452995248,-5120.871586177568,0.0009765625,0.9990234375
10112,10112,28739.916666666668,1.010820310929369,-0.498,1.0169132427548426,-5121.374974692411,0.0009765625,0.9990234375
10113,10113,28740.916666666668,1.010825744719226,-0.498,1.0169126408665654,-5121.878365913281,0.0009765625,0.9990234375
10114,10114,28741.916666666668,1.0108311785382926,-0.498,1.0169120396345015,-5122.381759840194,0.0009765625,0.9990234375
10115,10115,28742.916666666668,1.01083661238657,-0.498,1.0169114390584586,-5122.885156473162,0.0009765625,0.9990234375
10116,10116,28743.916666666668,1.0108420462640573,-0.498,1.0169108391382458,-5123.388555812202,0.0009765625,0.9990234375
10117,10117,28744.916666666668,1.0108474801707552,-0.498,1.016910239873671,-5123.891957857327,0.0009765625,0.9990234375
10118,10118,28745.916666666668,1.0108529141066636,-0.498,1.0169096412645429,-5124.395362608552,0.0009765625,0.9990234375
10119,10119,28746.916666666668,1.0108583480717828,-0.498,1.0169090433106702,-5124.898770065892,0.0009765625,0.9990234375
10120,10120,28747.916666666668,1.0108637820661128,-0.498,1.0169084460118614,-5125.402180229361,0.0009765625,0.9990234375
10121,10121,28748.916666666668,1.0108692160896544,-0.498,1.016907849367925,-5125.905593098973,0.0009765625,0.9990234375
10122,10122,28749.916666666668,1.0108746501424068,-0.498,1.0169072533786705,-5126.409008674745,0.0009765625,0.9990234375
10123,10123,28750.916666666668,1.010880084224371,-0.498,1.0169066580439061,-5126.912426956688,0.0009765625,0.9990234375
10124,10124,28751.916666666668,1.0108855183355463,-0.498,1.016906063363441,-5127.41584794482,0.0009765625,0.9990234375
10125,10125,28752.916666666668,1.0108909524759335,-0.498,1.0169054693370845,-5127.919271639153,0.0009765625,0.9990234375
10126,10126,28753.916666666668,1.0108963866455332,-0.498,1.0169048759646453,-5128.4226980397025,0.0009765625,0.9990234375
